movement_class,muscle_group,contraindication,tagged,group_size,coverage,inconsistent,examples_tagged,examples_untagged,tag_correct_for_this_movement__Y_N,coverage_correct__Y_N,missing_contraindications,reviewer_notes
(pull_v),back,rotator_cuff,2,8,25%,REVIEW,V-Bar Pullup | Wide-Grip Rear Pull-Up,Band Assisted Pull-Up | Chin-Up | One Arm Chin-Up | Pullups | Scapular Pull-Up | Weighted Pull Ups,,,,
deadlift,shoulders,heart_disease,2,7,29%,REVIEW,Clean And Jerk | Clean And Press,Double Kettlebell Snatch | One-Arm Kettlebell Clean And Jerk | One-Arm Kettlebell Snatch | One-Arm Kettlebell Split Snat,,,,
deadlift,shoulders,herniated_disc,4,7,57%,REVIEW,Clean And Jerk | Clean And Press | One-Arm Kettlebell Snatch,Double Kettlebell Snatch | One-Arm Kettlebell Clean And Jerk | One-Arm Kettlebell Split Snatch,,,,
deadlift,shoulders,hypertension,2,7,29%,REVIEW,Clean And Jerk | Clean And Press,Double Kettlebell Snatch | One-Arm Kettlebell Clean And Jerk | One-Arm Kettlebell Snatch | One-Arm Kettlebell Split Snat,,,,
deadlift,shoulders,osteoporosis,4,7,57%,REVIEW,Clean And Jerk | Clean And Press | One-Arm Kettlebell Snatch,Double Kettlebell Snatch | One-Arm Kettlebell Clean And Jerk | One-Arm Kettlebell Split Snatch,,,,
shrug,back,cervical_spondylosis,4,7,57%,REVIEW,Cable Shrugs | Dumbbell Shrug | Leverage Shrug,Barbell Shrug | Barbell Shrug Behind The Back | Smith Machine Behind The Back Shrug,,,,
shrug,back,heart_disease,2,7,29%,REVIEW,Barbell Shrug | Barbell Shrug Behind The Back,Cable Shrugs | Dumbbell Shrug | Leverage Shrug | Middle Back Shrug | Smith Machine Behind The Back Shrug,,,,
shrug,back,hypertension,2,7,29%,REVIEW,Barbell Shrug | Barbell Shrug Behind The Back,Cable Shrugs | Dumbbell Shrug | Leverage Shrug | Middle Back Shrug | Smith Machine Behind The Back Shrug,,,,
shrug,back,neck_injury,4,7,57%,REVIEW,Cable Shrugs | Dumbbell Shrug | Leverage Shrug,Barbell Shrug | Barbell Shrug Behind The Back | Smith Machine Behind The Back Shrug,,,,
bench,triceps,heart_disease,5,6,83%,REVIEW,Bench Press - Powerlifting | Bench Press With Chains | Close-Grip Barbell Bench Press,Smith Machine Close-Grip Bench Press,,,,
bench,triceps,hypertension,5,6,83%,REVIEW,Bench Press - Powerlifting | Bench Press With Chains | Close-Grip Barbell Bench Press,Smith Machine Close-Grip Bench Press,,,,
hip_abduction,legs,bad_knee,2,6,33%,REVIEW,Cable Hip Adduction | Thigh Adductor,Adductor | Adductor/Groin | Band Hip Adductions | Thigh Abductor,,,,
hip_abduction,legs,hip_injury,4,6,67%,REVIEW,Adductor | Adductor/Groin | Band Hip Adductions,Cable Hip Adduction | Thigh Adductor,,,,
hip_abduction,legs,knee_replacement,2,6,33%,REVIEW,Cable Hip Adduction | Thigh Adductor,Adductor | Adductor/Groin | Band Hip Adductions | Thigh Abductor,,,,
(isolation),biceps,elbow_injury,1,4,25%,REVIEW,Wall Biceps Isometric,Brachialis-Smr | Seated Biceps | Standing Biceps Stretch,,,,
(isolation),biceps,heart_disease,1,4,25%,REVIEW,Wall Biceps Isometric,Brachialis-Smr | Seated Biceps | Standing Biceps Stretch,,,,
(isolation),biceps,hypertension,1,4,25%,REVIEW,Wall Biceps Isometric,Brachialis-Smr | Seated Biceps | Standing Biceps Stretch,,,,
(isolation),biceps,rotator_cuff,2,4,50%,REVIEW,Seated Biceps | Standing Biceps Stretch,Brachialis-Smr | Wall Biceps Isometric,,,,
(isolation),biceps,shoulder_injury,2,4,50%,REVIEW,Seated Biceps | Standing Biceps Stretch,Brachialis-Smr | Wall Biceps Isometric,,,,
(isolation),biceps,wrist_injury,1,4,25%,REVIEW,Wall Biceps Isometric,Brachialis-Smr | Seated Biceps | Standing Biceps Stretch,,,,
hack_squat,legs,heart_disease,2,4,50%,REVIEW,Barbell Hack Squat | Weighted Sissy Squat,Hack Squat | Narrow Stance Hack Squats,,,,
hack_squat,legs,hypertension,2,4,50%,REVIEW,Barbell Hack Squat | Weighted Sissy Squat,Hack Squat | Narrow Stance Hack Squats,,,,
hip_thrust,legs,heart_disease,2,4,50%,REVIEW,Barbell Glute Bridge | Barbell Hip Thrust,Butt Lift (Bridge) | Single Leg Glute Bridge,,,,
hip_thrust,legs,hypertension,2,4,50%,REVIEW,Barbell Glute Bridge | Barbell Hip Thrust,Butt Lift (Bridge) | Single Leg Glute Bridge,,,,
leg_press,legs,bad_ankle,1,4,25%,REVIEW,Calf Press On The Leg Press Machine,Leg Press | Narrow Stance Leg Press | Smith Machine Leg Press,,,,
leg_press,legs,heart_disease,1,4,25%,REVIEW,Calf Press On The Leg Press Machine,Leg Press | Narrow Stance Leg Press | Smith Machine Leg Press,,,,
leg_press,legs,hypertension,1,4,25%,REVIEW,Calf Press On The Leg Press Machine,Leg Press | Narrow Stance Leg Press | Smith Machine Leg Press,,,,
pullover,chest,heart_disease,2,4,50%,REVIEW,Front Raise And Pullover | Wide-Grip Decline Barbell Pullover,Bent-Arm Dumbbell Pullover | Straight-Arm Dumbbell Pullover,,,,
pullover,chest,hypertension,2,4,50%,REVIEW,Front Raise And Pullover | Wide-Grip Decline Barbell Pullover,Bent-Arm Dumbbell Pullover | Straight-Arm Dumbbell Pullover,,,,
rear_delt,shoulders,heart_disease,1,4,25%,REVIEW,Barbell Rear Delt Row,Bent Over Dumbbell Rear Delt Raise With Head On Bench | Lying Rear Delt Raise | Seated Bent-Over Rear Delt Raise,,,,
rear_delt,shoulders,hypertension,1,4,25%,REVIEW,Barbell Rear Delt Row,Bent Over Dumbbell Rear Delt Raise With Head On Bench | Lying Rear Delt Raise | Seated Bent-Over Rear Delt Raise,,,,
